ball_y,ball_x,vy,vx,paddle_agent_y,paddle_opponent_y,action
0.4729337,0.5,-0.4990096,0.5,0.43333334,0.43333334,1
0.46628025,0.505,-0.4990096,0.5,0.42333335,0.42333335,0
0.45962676,0.51,-0.4990096,0.5,0.43333334,0.41333333,1
0.4529733,0.515,-0.4990096,0.5,0.42333335,0.40333334,0
0.44631985,0.52,-0.4990096,0.5,0.43333334,0.39333335,1
0.4396664,0.525,-0.4990096,0.5,0.42333335,0.38333333,0
0.43301293,0.53,-0.4990096,0.5,0.43333334,0.37333333,1
0.42635947,0.535,-0.4990096,0.5,0.42333335,0.36333334,0
0.41970602,0.54,-0.4990096,0.5,0.43333334,0.35333332,1
0.41305256,0.545,-0.4990096,0.5,0.42333335,0.34333333,0
0.4063991,0.55,-0.4990096,0.5,0.43333334,0.35333332,1
0.3997456,0.555,-0.4990096,0.5,0.42333335,0.34333333,0
0.39309216,0.56,-0.4990096,0.5,0.43333334,0.33333334,1
0.3864387,0.565,-0.4990096,0.5,0.42333335,0.32333332,0
0.37978524,0.57,-0.4990096,0.5,0.43333334,0.31333333,1
0.37313178,0.575,-0.4990096,0.5,0.42333335,0.30333334,0
0.36647832,0.58,-0.4990096,0.5,0.43333334,0.31333333,1
0.35982487,0.585,-0.4990096,0.5,0.42333335,0.30333334,0
0.3531714,0.59,-0.4990096,0.5,0.43333334,0.29333332,1
0.34651792,0.595,-0.4990096,0.5,0.42333335,0.28333333,0
0.33986446,0.6,-0.4990096,0.5,0.43333334,0.27333334,1
0.333211,0.605,-0.4990096,0.5,0.42333335,0.26333332,0
0.32655755,0.61,-0.4990096,0.5,0.43333334,0.27333334,1
0.3199041,0.615,-0.4990096,0.5,0.42333335,0.26333332,0
0.31325063,0.62,-0.4990096,0.5,0.43333334,0.25333333,1
0.30659717,0.625,-0.4990096,0.5,0.42333335,0.24333334,0
0.29994372,0.63,-0.4990096,0.5,0.43333334,0.23333333,1
0.29329026,0.635,-0.4990096,0.5,0.42333335,0.22333333,0
0.28663677,0.64,-0.4990096,0.5,0.43333334,0.23333333,1
0.2799833,0.645,-0.4990096,0.5,0.42333335,0.22333333,0
0.27332985,0.65,-0.4990096,0.5,0.43333334,0.21333334,1
0.2666764,0.655,-0.4990096,0.5,0.42333335,0.20333333,0
0.26002294,0.66,-0.4990096,0.5,0.43333334,0.19333333,1
0.25336948,0.665,-0.4990096,0.5,0.42333335,0.20333333,0
0.24671601,0.67,-0.4990096,0.5,0.43333334,0.19333333,1
0.24006255,0.675,-0.4990096,0.5,0.42333335,0.18333334,0
0.23340909,0.68,-0.4990096,0.5,0.43333334,0.17333333,1
0.22675563,0.685,-0.4990096,0.5,0.42333335,0.16333333,0
0.22010216,0.69,-0.4990096,0.5,0.43333334,0.15333334,1
0.2134487,0.695,-0.4990096,0.5,0.42333335,0.16333333,0
0.20679525,0.7,-0.4990096,0.5,0.43333334,0.15333334,1
0.20014179,0.705,-0.4990096,0.5,0.42333335,0.14333333,0
0.19348831,0.71,-0.4990096,0.5,0.43333334,0.13333334,1
0.18683486,0.715,-0.4990096,0.5,0.42333335,0.123333335,0
0.1801814,0.72,-0.4990096,0.5,0.43333334,0.11333334,1
0.17352794,0.725,-0.4990096,0.5,0.42333335,0.123333335,0
0.16687448,0.73,-0.4990096,0.5,0.43333334,0.11333334,1
0.16022101,0.735,-0.4990096,0.5,0.42333335,0.10333333,0
0.15356755,0.74,-0.4990096,0.5,0.43333334,0.093333334,1
0.1469141,0.745,-0.4990096,0.5,0.42333335,0.083333336,0
0.14026064,0.75,-0.4990096,0.5,0.43333334,0.07333333,1
0.13360716,0.755,-0.4990096,0.5,0.42333335,0.083333336,0
0.1269537,0.76,-0.4990096,0.5,0.43333334,0.07333333,1
0.12030025,0.765,-0.4990096,0.5,0.42333335,0.06333333,0
0.11364678,0.77,-0.4990096,0.5,0.43333334,0.053333335,1
0.106993325,0.775,-0.4990096,0.5,0.42333335,0.043333333,0
0.10033986,0.78,-0.4990096,0.5,0.43333334,0.033333335,1
0.0936864,0.785,-0.4990096,0.5,0.42333335,0.043333333,0
0.08703294,0.79,-0.4990096,0.5,0.43333334,0.033333335,1
0.08037948,0.795,-0.4990096,0.5,0.42333335,0.023333333,0
0.07372601,0.8,-0.4990096,0.5,0.43333334,0.016666668,1
0.067072555,0.805,-0.4990096,0.5,0.42333335,0.016666668,0
0.060419094,0.81,-0.4990096,0.5,0.43333334,0.016666668,1
0.053765632,0.815,-0.4990096,0.5,0.42333335,0.016666668,0
0.04711217,0.82,-0.4990096,0.5,0.43333334,0.016666668,1
0.04045871,0.825,-0.4990096,0.5,0.42333335,0.016666668,0
0.033805247,0.83,-0.4990096,0.5,0.43333334,0.016666668,1
0.027151786,0.835,-0.4990096,0.5,0.42333335,0.016666668,0
0.020498324,0.84,0.4990096,0.5,0.43333334,0.016666668,1
0.027151786,0.845,0.4990096,0.5,0.42333335,0.016666668,0
0.033805247,0.85,0.4990096,0.5,0.43333334,0.016666668,1
0.04045871,0.855,0.4990096,0.5,0.42333335,0.016666668,0
0.04711217,0.86,0.4990096,0.5,0.43333334,0.016666668,1
0.053765632,0.865,0.4990096,0.5,0.42333335,0.016666668,0
0.060419094,0.87,0.4990096,0.5,0.43333334,0.016666668,1
0.067072555,0.875,0.4990096,0.5,0.42333335,0.016666668,0
0.07372601,0.88,0.4990096,0.5,0.43333334,0.016666668,1
0.08037948,0.885,0.4990096,0.5,0.42333335,0.016666668,0
0.08703294,0.89,0.4990096,0.5,0.43333334,0.016666668,1
0.0936864,0.895,0.4990096,0.5,0.42333335,0.026666667,0
0.10033986,0.9,0.4990096,0.5,0.43333334,0.036666665,1
0.106993325,0.905,0.4990096,0.5,0.42333335,0.026666667,0
0.11364678,0.91,0.4990096,0.5,0.43333334,0.036666665,1
0.12030025,0.915,0.4990096,0.5,0.42333335,0.046666667,0
0.1269537,0.92,0.4990096,0.5,0.43333334,0.05666667,1
0.13360716,0.925,0.4990096,0.5,0.42333335,0.06666667,0
0.14026064,0.93,0.4990096,0.5,0.43333334,0.07666667,1
0.1469141,0.935,0.4990096,0.5,0.42333335,0.06666667,0
0.15356755,0.94,0.4990096,0.5,0.43333334,0.07666667,1
0.16022101,0.945,0.4990096,0.5,0.42333335,0.086666666,0
0.16687448,0.95,0.4990096,0.5,0.43333334,0.096666664,1
0.17352794,0.955,0.4990096,0.5,0.42333335,0.10666667,0
0.1801814,0.96,0.4990096,0.5,0.43333334,0.11666667,1
0.18683486,0.965,0.4990096,0.5,0.42333335,0.10666667,0
0.19348831,0.97,0.51160145,-0.98839855,0.43333334,0.11666667,1
0.20030968,0.960116,0.51160145,-0.98839855,0.42333335,0.12666667,1
0.20713103,0.950232,0.51160145,-0.98839855,0.41333333,0.13666667,1
0.21395238,0.940348,0.51160145,-0.98839855,0.40333334,0.14666666,1
0.22077373,0.930464,0.51160145,-0.98839855,0.39333335,0.15666667,1
0.22759508,0.9205801,0.51160145,-0.98839855,0.38333333,0.16666667,1
0.23441644,0.9106961,0.51160145,-0.98839855,0.37333333,0.17666666,1
0.24123779,0.9008121,0.51160145,-0.98839855,0.36333334,0.18666667,1
0.24805914,0.8909281,0.51160145,-0.98839855,0.35333332,0.19666667,1
0.2548805,0.88104415,0.51160145,-0.98839855,0.34333333,0.20666666,1
0.26170185,0.87116015,0.51160145,-0.98839855,0.33333334,0.21666667,1
0.2685232,0.86127615,0.51160145,-0.98839855,0.32333332,0.22666667,1
0.27534455,0.85139215,0.51160145,-0.98839855,0.31333333,0.23666666,1
0.2821659,0.8415082,0.51160145,-0.98839855,0.30333334,0.24666667,1
0.28898725,0.8316242,0.51160145,-0.98839855,0.29333332,0.25666666,1
0.2958086,0.8217402,0.51160145,-0.98839855,0.28333333,0.26666668,1
0.30262995,0.8118562,0.51160145,-0.98839855,0.27333334,0.27666667,1
0.3094513,0.80197227,0.51160145,-0.98839855,0.26333332,0.28666666,1
0.31627268,0.79208827,0.51160145,-0.98839855,0.25333333,0.29666665,1
0.323094,0.7822043,0.51160145,-0.98839855,0.24333334,0.30666667,0
0.32991537,0.7723203,0.51160145,-0.98839855,0.25333333,0.31666666,0
0.3367367,0.7624363,0.51160145,-0.98839855,0.26333332,0.32666665,0
0.34355807,0.75255233,0.51160145,-0.98839855,0.27333334,0.33666667,0
0.35037944,0.74266833,0.51160145,-0.98839855,0.28333333,0.34666666,0
0.35720077,0.73278433,0.51160145,-0.98839855,0.29333332,0.35666665,1
0.36402214,0.72290033,0.51160145,-0.98839855,0.28333333,0.36666667,0
0.37084347,0.7130164,0.51160145,-0.98839855,0.29333332,0.37666667,0
0.37766483,0.7031324,0.51160145,-0.98839855,0.30333334,0.38666666,0
0.3844862,0.6932484,0.51160145,-0.98839855,0.31333333,0.39666668,0
0.39130753,0.6833644,0.51160145,-0.98839855,0.32333332,0.40666667,0
0.3981289,0.67348045,0.51160145,-0.98839855,0.33333334,0.41666666,1
0.40495023,0.66359645,0.51160145,-0.98839855,0.32333332,0.42666668,0
0.4117716,0.65371245,0.51160145,-0.98839855,0.33333334,0.43666667,0
0.41859296,0.64382845,0.51160145,-0.98839855,0.34333333,0.42666668,0
0.4254143,0.6339445,0.51160145,-0.98839855,0.35333332,0.43666667,0
0.43223566,0.6240605,0.51160145,-0.98839855,0.36333334,0.42666668,0
0.439057,0.6141765,0.51160145,-0.98839855,0.37333333,0.43666667,1
0.44587836,0.6042925,0.51160145,-0.98839855,0.36333334,0.42666668,0
0.45269972,0.5944086,0.51160145,-0.98839855,0.37333333,0.43666667,0
0.45952106,0.5845246,0.51160145,-0.98839855,0.38333333,0.42666668,0
0.46634242,0.5746406,0.51160145,-0.98839855,0.39333335,0.43666667,0
0.47316375,0.5647566,0.51160145,-0.98839855,0.40333334,0.42666668,0
0.47998512,0.5548726,0.51160145,-0.98839855,0.41333333,0.43666667,1
0.48680648,0.54498863,0.51160145,-0.98839855,0.40333334,0.42666668,0
0.49362782,0.53510463,0.51160145,-0.98839855,0.41333333,0.43666667,0
0.5004492,0.52522063,0.51160145,-0.98839855,0.42333335,0.42666668,0
0.5072705,0.51533663,0.51160145,-0.98839855,0.43333334,0.43666667,0
0.5140919,0.5054527,0.51160145,-0.98839855,0.44333333,0.42666668,0
0.52091324,0.4955687,0.51160145,-0.98839855,0.45333335,0.43666667,0
0.5277346,0.4856847,0.51160145,-0.98839855,0.46333334,0.42666668,1
0.5345559,0.47580072,0.51160145,-0.98839855,0.45333335,0.43666667,0
0.5413773,0.46591672,0.51160145,-0.98839855,0.46333334,0.42666668,0
0.54819864,0.45603275,0.51160145,-0.98839855,0.47333333,0.43666667,0
0.55502,0.44614875,0.51160145,-0.98839855,0.48333332,0.42666668,0
0.56184137,0.43626478,0.51160145,-0.98839855,0.49333334,0.43666667,0
0.5686627,0.42638078,0.51160145,-0.98839855,0.50333333,0.42666668,1
0.57548404,0.4164968,0.51160145,-0.98839855,0.49333334,0.43666667,0
0.58230543,0.4066128,0.51160145,-0.98839855,0.50333333,0.42666668,0
0.58912677,0.3967288,0.51160145,-0.98839855,0.5133333,0.43666667,0
0.5959481,0.38684484,0.51160145,-0.98839855,0.5233333,0.42666668,0
0.60276943,0.37696084,0.51160145,-0.98839855,0.53333336,0.43666667,0
0.6095908,0.36707687,0.51160145,-0.98839855,0.54333335,0.42666668,1
0.61641216,0.35719287,0.51160145,-0.98839855,0.53333336,0.43666667,0
0.6232335,0.3473089,0.51160145,-0.98839855,0.54333335,0.42666668,0
0.6300549,0.3374249,0.51160145,-0.98839855,0.55333334,0.43666667,0
0.6368762,0.32754093,0.51160145,-0.98839855,0.56333333,0.42666668,0
0.64369756,0.31765693,0.51160145,-0.98839855,0.5733333,0.43666667,0
0.65051895,0.30777296,0.51160145,-0.98839855,0.5833333,0.42666668,0
0.6573403,0.29788896,0.51160145,-0.98839855,0.5933333,0.43666667,1
0.6641616,0.288005,0.51160145,-0.98839855,0.5833333,0.42666668,0
0.67098296,0.278121,0.51160145,-0.98839855,0.5933333,0.43666667,0
0.67780435,0.26823702,0.51160145,-0.98839855,0.60333335,0.42666668,0
0.6846257,0.25835302,0.51160145,-0.98839855,0.61333334,0.43666667,0
0.691447,0.24846904,0.51160145,-0.98839855,0.62333333,0.42666668,0
0.6982684,0.23858505,0.51160145,-0.98839855,0.6333333,0.43666667,1
0.70508975,0.22870107,0.51160145,-0.98839855,0.62333333,0.42666668,0
0.7119111,0.21881709,0.51160145,-0.98839855,0.6333333,0.43666667,0
0.7187325,0.2089331,0.51160145,-0.98839855,0.6433333,0.42666668,0
0.7255538,0.19904912,0.51160145,-0.98839855,0.6533333,0.43666667,0
0.73237514,0.18916513,0.51160145,-0.98839855,0.66333336,0.42666668,0
0.73919654,0.17928115,0.51160145,-0.98839855,0.67333335,0.43666667,1
0.7460179,0.16939716,0.51160145,-0.98839855,0.66333336,0.42666668,0
0.7528392,0.15951318,0.51160145,-0.98839855,0.67333335,0.43666667,0
0.75966054,0.14962919,0.51160145,-0.98839855,0.68333334,0.42666668,0
0.76648194,0.13974519,0.51160145,-0.98839855,0.6933333,0.43666667,0
0.7733033,0.1298612,0.51160145,-0.98839855,0.7033333,0.42666668,0
0.7801246,0.11997723,0.51160145,-0.98839855,0.7133333,0.43666667,0
0.786946,0.11009324,0.51160145,-0.98839855,0.72333336,0.42666668,1
0.79376733,0.10020926,0.51160145,-0.98839855,0.7133333,0.43666667,0
0.80058867,0.090325266,0.51160145,-0.98839855,0.72333336,0.42666668,0
0.80741006,0.08044128,0.51160145,-0.98839855,0.73333335,0.43666667,0
0.8142314,0.0705573,0.51160145,-0.98839855,0.74333334,0.42666668,0
0.82105273,0.06067331,0.51160145,-0.98839855,0.75333333,0.43666667,0
0.82787406,0.050789326,0.51160145,-0.98839855,0.7633333,0.42666668,1
0.83469546,0.04090534,0.51160145,-0.98839855,0.75333333,0.43666667,0
