ball_y,ball_x,vy,vx,paddle_agent_y,paddle_opponent_y,action
0.36349952,0.25976467,0.5268141,-0.9731859,0.29,0.42666668,0
0.34638625,0.24973585,0.503302,0.996698,0.34666666,0.27666667,0
0.8830673,0.48339066,0.5000083,0.9999917,0.43,0.81,0
0.49752432,0.16975203,-0.5112292,-0.9887708,0.43666667,0.42666668,1
0.60929495,0.6763845,0.50052947,0.99947053,0.43666667,0.53,1
0.4138145,0.891427,-0.52165866,-0.97834134,0.35666665,0.43666667,1
0.5367866,0.6317277,0.5168719,-0.9831281,0.45666668,0.42666668,0
0.45887262,0.12169996,-0.5219326,-0.9780674,0.39666668,0.42666668,1
0.67874664,0.13745432,0.52538955,0.97461045,0.43,0.54,0
0.9409185,0.48299626,0.51440454,-0.98559546,0.85,0.44,0
0.8134939,0.52704716,-0.5050394,0.9949606,0.42666668,0.74666667,0
0.30436015,0.8306272,-0.5936679,0.9063321,0.44,0.24666667,1
0.12571943,0.04438799,0.5174796,-0.9825204,0.05666667,0.43,0
0.9510477,0.8961692,0.5175913,-0.9824087,0.50666666,0.7366667,0
0.36954948,0.25455526,-0.93278646,-0.56721354,0.41,0.43666667,1
0.88316864,0.7481466,0.50601625,0.99398375,0.42666668,0.8066667,0
0.5686627,0.42638078,0.51160145,-0.98839855,0.50333333,0.42666668,1
0.36541054,0.25093886,0.5045156,-0.9954844,0.29,0.44,0
0.6807219,0.29948705,0.6514517,-0.8485483,0.6,0.42666668,0
0.5980823,0.56959057,-0.6494489,-0.8505511,0.5366667,0.44,1
0.31192037,0.6978731,0.50856197,-0.99143803,0.24,0.32666665,0
0.34264034,0.61103207,-0.50130165,-0.99869835,0.28,0.44,1
0.8563056,0.587703,-0.5009681,-0.9990319,0.7866667,0.43666667,0
0.09117573,0.15527658,-0.5028157,0.9971843,0.24666667,0.3,0
0.9515988,0.8398015,0.5160354,-0.9839646,0.56666666,0.63666666,0
0.18761213,0.9392745,0.5290303,-0.9709697,0.39,0.11666667,1
0.43787438,0.09211735,0.50601625,0.99398375,0.38666666,0.36666667,0
0.25171176,0.47777003,0.5268211,0.9731789,0.44,0.18,1
0.5930933,0.109385416,0.6306644,0.8693356,0.42666668,0.52,0
0.13018778,0.94321275,-0.5044655,-0.9955345,0.41,0.12,1
0.15503348,0.05415529,0.5003203,0.9996797,0.096666664,0.39666668,0
0.15898246,0.34098294,0.5001206,0.9998794,0.33,0.13,0
0.29604185,0.94836,0.5143249,0.9856751,0.43666667,0.22666667,1
0.37369204,0.6007813,0.5138262,0.9861738,0.43666667,0.31,1
0.70907676,0.5073165,-0.5273846,0.9726154,0.42666668,0.64666665,0
0.3136799,0.7438708,-0.50595146,0.99404854,0.44,0.24666667,1
0.124702096,0.49161455,0.50586885,-0.99413115,0.05666667,0.42666668,0
0.6095741,0.6714322,-0.51876336,0.98123664,0.42666668,0.5466667,0
0.94778574,0.112433314,0.50199664,0.99800336,0.7266667,0.51666665,1
0.583308,0.27589965,-0.50990593,-0.99009407,0.51666665,0.44,1
0.39929968,0.28057253,0.5108536,-0.9891464,0.33,0.43,0
0.89642507,0.08606105,-0.50225157,-0.99774843,0.84,0.44,1
0.57118785,0.9662178,0.5005212,-0.9994788,0.45,0.49,0
0.6525136,0.683508,0.5000911,0.9999089,0.42666668,0.58666664,0
0.08047814,0.07262894,0.50202596,-0.99797404,0.016666668,0.44,1
0.9029764,0.5552519,-0.50331265,-0.99668735,0.83666664,0.43666667,1
0.4079249,0.46718004,-0.512229,-0.987771,0.35,0.43,1
0.7284182,0.55816,0.5206191,-0.9793809,0.65,0.43666667,0
0.17827803,0.5292207,-0.81279236,0.68720764,0.44,0.15666667,1
0.028334768,0.8990595,-0.51894695,-0.98105305,0.36,0.11,1
0.3190011,0.7843728,-0.5045667,0.9954333,0.43,0.25,0
0.55142605,0.42561045,-0.5123331,-0.9876669,0.48666668,0.44,1
0.8369752,0.037833672,-0.50098497,-0.99901503,0.78,0.44,1
0.35353076,0.3220655,-0.50423294,-0.99576706,0.3,0.44,1
0.9133422,0.59462,-0.5122008,-0.9877992,0.81666666,0.43333334,0
0.7470503,0.117804825,-0.50001675,0.99998325,0.65,0.52666664,1
0.32869035,0.14146769,-0.50208867,0.99791133,0.42666668,0.31666666,0
0.115366995,0.51449436,-0.51798415,0.98201585,0.42666668,0.046666667,0
0.19857568,0.43684742,0.5104048,0.9895952,0.43666667,0.12,1
0.3658383,0.028559536,-0.5007059,0.9992941,0.29666665,0.43,0
0.19530945,0.9190722,-0.52661175,0.97338825,0.43,0.12666667,0
0.91792315,0.29851463,0.51203626,-0.98796374,0.83666664,0.43666667,0
0.14337398,0.29037786,0.50601566,-0.99398434,0.07666667,0.43666667,0
